lv2.1.6,lv2.1.9,lv2.2.11,lv2.2.12,lv2.2.2,lv2.2.3,lv2.2.6,lv3.1.26,lv4.1.6,lv4.2.11,lv4.2.8,lv4.2.9,lv4.4.14,lv4.4.1,lv4.4.2.17,lv4.4.3,lv6.1.1,lv6.2.12,lv6.2.18,lv6.2.20,lv6.2.5,lv6.4.12,lv6.4.17,lv6.4.1,lv6.5.2,lv6.5.4,lv6.6.11,lv6.6.19,lv6.6.1,lv6.6.20,lv7.1.1,lv7.3.18,lv7.3.19,lv7.3.24,lv7.3.25,lv7.3.3,lv7.3.5,lv7.3.7,lv7.3.8,lv10.2.12,lv13.2.12,lv13.2.3,lv13.2.9,lv13.3.10,lv13.3.3,lv13.3.4,lv13.3.9,lv14.1.10,lv14.1.11,lv14.1.13,lv14.1.18,lv14.1.23,lv18.1.4,lv18.2.12,lv18.2.3,lv18.2.4,lv18.2.6,lv18.3.10,lv18.3.11,lv18.3.5,lv2,lv3,lv4,lv5,lv6,lv7,lv8,lv9,lv10,lv13,lv14,lv15,lv16,lv17,lv18,lv26,lv31,lv32,lv33,lv39,lv45,lv60,lv63,lv64,lv66,lv73,lv79,lv81,lv96,lv97,lv99,lv103,lv109,lv111,lv113,lv115,lv116,lv121,lv125,lv153,lv154,lv157,lv160,lv167,lv170
58626,45429,38328,15158,27721,21282,23899,49305,14561,47640,35811,28920,25533,28676,18384,18531,36320,13096,23814,41766,30932,18348,8447,26246,29779,19528,26670,21073,33814,15806,40151,22289,38988,30344,21823,41259,15483,12754,27067,44362,16420,24245,26266,19147,10036,22495,4809,12362,17520,14781,32317,33049,33802,24555,22703,38636,19552,2342,35952,34664,45181,31595,34704,49235,52107,53629,32518,41047,55737,45393,87370,25164,78374,32710,53453,45764,58238,83067,45419,57280,64363,29885,53443,32482,4552,51902,21845,53073,42162,32154,45964,67173,37946,48285,57994,60160,66456,34826,47078,28166,31118,91844,43881,60278,29593
2036,6760,25421,3560,5624,6677,6734,1727,10089,17232,10707,10383,17788,16816,9548,10313,5155,6646,6824,20290,22192,4031,7299,13635,3528,6804,368,2024,2331,1654,3818,6330,10632,4482,10486,5290,1842,7599,3802,2164,26,66,31,38,33,27,16,1539,1927,7205,49,4306,3287,10747,1054,17591,1583,449,3531,12798,134,159,342,171,495,462,57,27,8,2,611,195,993,327,290,180,632,2277,1790,460,4334,45,1014,1935,167,914,8,20,392,57,274,645,9,609,30,188,1303,35,1431,321,18,1235,401,777,13
2920,4912,1210,199,265,187,122,639,164,1202,1614,1117,366,781,808,276,1643,168,312,861,1099,523,138,751,224,331,187,377,282,444,1899,387,615,546,368,147,146,98,89,327,86,166,373,307,227,219,59,70,65,129,447,367,422,817,167,1440,673,12,470,842,2685,1447,1081,2237,1894,2548,1226,1050,2364,2048,5175,832,4780,800,2776,2737,2413,5667,1383,2895,4555,1298,2222,1350,111,1635,1201,2409,1393,1851,1981,3987,3257,3041,7802,2467,6031,2881,2069,2080,1771,7959,5715,4030,1746
5892,16,7,13,37,2421,14,4160,25,4039,60,52,23,22,2409,5,12,3,10,22,7,15,3,0,2,0,2533,0,1,2,34,528,6681,811,1103,5305,25,9,1,51,4666,17886,7242,5406,3314,5051,636,14,16,9,22,41,11632,691,1932,19,5895,1,8,3,2,39,1,207,8,7,0,5,806,4186,5,24,1,545,5,1,956,3,278,2,5,65,0,2,1,5,440,8,22,14,9,12,2,2,47,623,13,61,8,151,1,2,4,8,424
372,250,232,127,191,152,162,269,112,344,171,236,185,178,93,116,288,184,305,489,473,133,100,253,267,262,220,308,357,156,292,110,239,157,149,205,99,75,136,133,166,193,212,145,63,192,39,80,99,90,204,229,270,153,168,313,132,15,259,247,292,193,174,246,535,267,389,493,280,345,577,190,640,325,440,461,292,407,249,605,477,423,532,189,26,445,153,412,199,95,985,248,234,393,254,362,553,403,397,138,216,541,258,276,414
151,416,146,22,40,29,2,76,31,87,90,171,28,101,79,13,64,27,30,34,211,19,12,11,10,37,3,32,38,28,151,79,50,45,40,9,6,12,5,12,0,11,10,44,21,12,6,2,14,6,23,9,59,44,1,255,97,0,77,41,173,144,134,4,101,153,115,94,217,143,464,10,286,130,164,224,610,857,34,242,344,82,213,70,4,127,124,194,68,164,176,876,294,303,477,137,305,210,496,142,163,594,535,702,0
298,110,449,391,356,273,254,468,1,3,358,227,1,2,0,190,288,5,264,1218,3,271,123,1109,1031,334,64,300,54,669,393,292,426,272,347,244,315,124,23,217,181,532,375,367,400,555,255,96,104,84,1,329,236,299,52,491,119,20,156,139,0,5,1,0,0,66,2,1,21,130,0,0,2,0,38,179,0,16,2,18,1,0,78,0,40,44,17,1,0,0,2,0,0,1,2,2,16,0,1,0,0,0,1,0,14
951,1909,570,27,93,92,62,268,25,601,372,266,72,53,166,46,391,32,58,276,223,83,22,197,61,115,100,131,42,231,307,155,178,101,61,102,38,28,54,68,20,39,108,63,30,64,15,17,7,37,153,99,111,208,63,426,271,4,156,198,550,571,260,630,281,368,372,330,613,607,1618,358,1131,237,875,175,716,1340,790,974,1072,436,793,532,32,639,291,470,239,743,687,1385,518,956,1904,1029,1729,674,696,368,332,1472,1578,1364,267
459,1438,322,25,34,19,13,141,22,241,172,138,58,86,124,49,136,18,32,186,115,68,21,69,67,77,57,78,25,51,182,56,61,64,32,21,23,3,4,18,11,35,72,42,34,32,9,13,21,20,34,56,90,165,57,57,77,1,64,96,291,244,203,280,268,353,241,233,142,82,420,195,725,203,562,789,506,764,234,449,520,332,364,195,21,101,315,95,98,472,402,1182,436,709,1510,403,1433,731,381,142,316,510,1184,727,171
12,113,469,136,307,151,88,259,161,253,228,159,155,188,90,145,148,148,210,594,490,187,91,167,405,223,89,277,55,264,179,182,258,127,197,54,145,69,48,106,104,229,354,239,71,261,143,50,37,81,71,284,102,151,46,175,139,5,83,206,0,0,2,1,32,74,12,1,4,41,0,12,6,8,1,0,0,9,98,48,81,0,0,19,20,22,10,67,2,1,72,5,8,0,78,11,419,18,13,0,0,59,20,74,17
