OTU1_C1,OTU2_C_c3variant?,OTU3_D1,OTU4_C_c3variant?,OTU5_C1,OTU6_D1a,OTU7_C_c3variant?,OTU8_A3,OTU10_micro,OTU12_C_c3variant?,OTU19_C_c3variant?,OTU21_C_c3variant?,OTU22_C,OTU23_C1,OTU24_C,OTU25_C_c3variant?,OUT27_C,OTU28_C_c3variant?,OTU29_C1,OTU32_C_c3variant?,OTU34_G4,OTU43_unknown,OTU44_C,OTU45_A,OTU46_C15,OTU47_C1,OTU51_C1,OTU53_C_c3variant?,OTU58_C1,OTU68_unknown,OTU75_E,OTU81_unknown,OTU86_c3variant?,OTU91_C,OTU95_unknown,OTU105_C1,OTU113_unknown,OTU120_D1,OTU123_unknown,OTU129_micro,OTU134_C1,OTU136_C_c3variant?,OTU148_unknown,OTU149_unknown,OTU165_C1,OTU169_C_c3variant?,OTU181_B1,OTU184_C_c3variant?,OTU185_unknown,OTU193_C,OTU196_A,OTU198_unknown,OTU200_G6,OTU201_D1a,OTU209_C,OTU223_C_c3variant?,OTU228_C,OTU233_unknown,OTU252_C,OTU285_C,OTU316_unknown,OTU320_unknown,OTU340_E_foram,OTU372_unknown,OTU375_unknown,OTU377_unknown,OTU379_unknown,OTU380_unknown,OTU381_unknown,OTU408_unknown,OTU409_unknown,OTU412_unknown,OTU415_unknown,OTU416_unknown,OTU422_unknown,OTU423_unknown,OTU431_unknown,OTU432_C_c3variant?,OTU437_C1,OTU438_unknown,OTU449_unknown,OTU451_C15,OTU453_unknown,OTU464_C1,OTU466_unknown,OTU472_unknown,OTU487_unknown,OTU494_unknown,OTU495_unknown,OTU498_unknown,OTU511_A13,OTU517_C,OTU519_unknown,OTU525_unknown,OTU530_C,OTU543_unknown,OTU546_unknown,OTU554_A3,OTU562_C_c3variant?,OTU569_C,OTU571_C,OTU572_unknown,OTU576_unknown,OTU581_unknown,OTU585_unknown,OTU588_E,OTU589_C_c3variant?,OTU597_D1,OTU600_unknown,OTU608_unknown,OTU615_unknown,OTU633_unknown,OTU634_unknown,OTU648_unknown,OTU649_unknown,OTU657_unknown,OTU679_unknown,OTU694_unknown,OTU702_unknown,OTU704_unknown,OTU710_unknown,OTU718_unknown,OTU724_C,OTU728_unknown,OTU730_C1,OTU731_C,OTU733_C1,OTU736_C1,OTU740_C,OTU741_C1,OTU743_C,OTU750_C,OTU760_C,OTU763_unknown,OTU774_unknown,OTU776_unknown,OTU783_C_c3variant?,OTU786_unknown,OTU796_unknown,OTU797_unknown,OTU798_unknown,OTU803_D1a,OTU814_unknown,OTU818_unknown,OTU833_C_c3variant?,OTU836_unknown,OTU846_C_c3variant?,OTU848_E_foram,OTU855_unknown,OTU860_C_c3variant?,OTU866_unknown,OTU867_unknown,OTU872_unknown,OTU878_unknown,OTU879_unknown,OTU880_unknown,OTU881_C_c3variant?,OTU886_C_c3variant?,OTU902_unknown,OTU903_unknown,OTU904_D1
1,0.418972332,0.490118577,0.43083004,0.395256917,0.517786561,0.422924901,0.351778656,0.387351779,0.418972332,0.442687747,0.411067194,0.391304348,0.66798419,0.399209486,0.391304348,0.434782609,0.42687747,0.37944664,0.415019763,0.505928854,0.304347826,0.604743083,0.355731225,0.956521739,0.687747036,0.292490119,0.375494071,0.960474308,0.335968379,0.367588933,0.387351779,0.446640316,0.913043478,0.347826087,0.351778656,0.304347826,0.407114625,0.245059289,0.407114625,0.956521739,0.42687747,0.28458498,0.308300395,0.976284585,0.383399209,0.557312253,0.42687747,0.292490119,0.4743083,0.422924901,0.28458498,0.509881423,0.47826087,0.300395257,0.407114625,0.438735178,0.308300395,1,0.347826087,0.272727273,0.312252964,0.343873518,0.328063241,0.296442688,0.288537549,0.312252964,0.312252964,0.316205534,0.304347826,0.225296443,0.276679842,0.300395257,0.339920949,0.300395257,0.264822134,0.245059289,0.355731225,0.940711462,0.324110672,0.320158103,0.648221344,0.312252964,0.956521739,0.363636364,0.268774704,0.335968379,0.296442688,0.256916996,0.292490119,0.415019763,0.501976285,0.320158103,0.296442688,0.355731225,0.324110672,0.280632411,0.395256917,0.422924901,0.292490119,1,0.359683794,0.316205534,0.316205534,0.312252964,0.264822134,0.359683794,0.339920949,0.28458498,0.316205534,0.280632411,0.252964427,0.339920949,0.339920949,0.268774704,0.300395257,0.308300395,0.296442688,0.268774704,0.339920949,0.343873518,0.296442688,0.996047431,0.33201581,0.288537549,0.956521739,0.577075099,0.217391304,0.980237154,0.359683794,1,0.996047431,0.462450593,0.280632411,0.296442688,0.260869565,0.43083004,0.276679842,0.320158103,0.296442688,0.328063241,0.505928854,0.328063241,0.316205534,0.415019763,0.268774704,0.422924901,0.371541502,0.23715415,0.450592885,0.304347826,0.288537549,0.28458498,0.312252964,0.347826087,0.328063241,0.422924901,0.442687747,0.229249012,0.33201581,0.422924901
0.418972332,1,0.415019763,0.826086957,0.28458498,0.399209486,0.446640316,0.391304348,0.351778656,0.826086957,0.442687747,0.545454545,0.501976285,0.387351779,0.533596838,0.505928854,0.383399209,0.814229249,0.458498024,0.517786561,0.403162055,0.320158103,0.395256917,0.324110672,0.403162055,0.391304348,0.324110672,0.411067194,0.422924901,0.300395257,0.367588933,0.292490119,0.486166008,0.403162055,0.304347826,0.304347826,0.300395257,0.383399209,0.296442688,0.335968379,0.415019763,0.822134387,0.33201581,0.249011858,0.411067194,0.505928854,0.391304348,0.509881423,0.296442688,0.320158103,0.351778656,0.245059289,0.434782609,0.407114625,0.260869565,0.501976285,0.363636364,0.339920949,0.418972332,0.33201581,0.260869565,0.320158103,0.316205534,0.308300395,0.252964427,0.324110672,0.28458498,0.300395257,0.245059289,0.296442688,0.256916996,0.292490119,0.320158103,0.272727273,0.292490119,0.300395257,0.276679842,0.505928854,0.371541502,0.300395257,0.288537549,0.399209486,0.276679842,0.442687747,0.304347826,0.249011858,0.292490119,0.316205534,0.276679842,0.28458498,0.359683794,0.383399209,0.280632411,0.33201581,0.288537549,0.308300395,0.256916996,0.387351779,0.988142292,0.316205534,0.418972332,0.308300395,0.308300395,0.304347826,0.276679842,0.280632411,0.498023715,0.304347826,0.272727273,0.256916996,0.292490119,0.312252964,0.304347826,0.288537549,0.300395257,0.304347826,0.288537549,0.312252964,0.256916996,0.256916996,0.288537549,0.241106719,0.418972332,0.268774704,0.28458498,0.391304348,0.383399209,0.209486166,0.411067194,0.347826087,0.418972332,0.422924901,0.956521739,0.292490119,0.28458498,0.320158103,0.861660079,0.276679842,0.296442688,0.300395257,0.292490119,0.411067194,0.23715415,0.296442688,0.513833992,0.256916996,0.996047431,0.300395257,0.264822134,0.442687747,0.256916996,0.288537549,0.264822134,0.288537549,0.256916996,0.245059289,0.996047431,0.837944664,0.256916996,0.304347826,0.359683794
0.490118577,0.415019763,1,0.422924901,0.37944664,0.588932806,0.359683794,0.422924901,0.407114625,0.415019763,0.343873518,0.422924901,0.450592885,0.52173913,0.391304348,0.371541502,0.403162055,0.42687747,0.422924901,0.391304348,0.494071146,0.276679842,0.494071146,0.355731225,0.4743083,0.454545455,0.264822134,0.363636364,0.4743083,0.328063241,0.347826087,0.339920949,0.395256917,0.454545455,0.296442688,0.335968379,0.351778656,0.43083004,0.288537549,0.375494071,0.494071146,0.415019763,0.304347826,0.292490119,0.47826087,0.371541502,0.490118577,0.395256917,0.28458498,0.399209486,0.415019763,0.264822134,0.545454545,0.948616601,0.316205534,0.383399209,0.43083004,0.276679842,0.490118577,0.351778656,0.292490119,0.316205534,0.316205534,0.312252964,0.276679842,0.268774704,0.272727273,0.320158103,0.288537549,0.264822134,0.23715415,0.280632411,0.308300395,0.28458498,0.339920949,0.300395257,0.28458498,0.407114625,0.43083004,0.288537549,0.292490119,0.498023715,0.308300395,0.501976285,0.296442688,0.308300395,0.268774704,0.33201581,0.28458498,0.304347826,0.418972332,0.494071146,0.355731225,0.292490119,0.351778656,0.304347826,0.276679842,0.37944664,0.422924901,0.280632411,0.490118577,0.339920949,0.300395257,0.296442688,0.316205534,0.304347826,0.415019763,0.347826087,0.312252964,0.260869565,0.335968379,0.260869565,0.300395257,0.316205534,0.312252964,0.260869565,0.260869565,0.33201581,0.256916996,0.33201581,0.300395257,0.296442688,0.486166008,0.300395257,0.264822134,0.454545455,0.533596838,0.169960474,0.486166008,0.403162055,0.490118577,0.494071146,0.450592885,0.300395257,0.33201581,0.320158103,0.415019763,0.300395257,0.268774704,0.304347826,0.312252964,0.980237154,0.324110672,0.296442688,0.37944664,0.300395257,0.418972332,0.304347826,0.28458498,0.355731225,0.304347826,0.268774704,0.312252964,0.324110672,0.316205534,0.292490119,0.418972332,0.43083004,0.256916996,0.316205534,0.916996047
0.43083004,0.826086957,0.422924901,1,0.308300395,0.391304348,0.454545455,0.403162055,0.33201581,0.889328063,0.450592885,0.517786561,0.498023715,0.438735178,0.5256917,0.52173913,0.407114625,0.968379447,0.438735178,0.545454545,0.407114625,0.339920949,0.411067194,0.347826087,0.422924901,0.395256917,0.316205534,0.415019763,0.434782609,0.288537549,0.351778656,0.316205534,0.498023715,0.403162055,0.304347826,0.308300395,0.312252964,0.359683794,0.292490119,0.351778656,0.43083004,0.95256917,0.324110672,0.241106719,0.43083004,0.533596838,0.422924901,0.52173913,0.288537549,0.308300395,0.335968379,0.252964427,0.411067194,0.422924901,0.252964427,0.513833992,0.367588933,0.308300395,0.43083004,0.308300395,0.252964427,0.296442688,0.300395257,0.312252964,0.288537549,0.292490119,0.276679842,0.304347826,0.268774704,0.300395257,0.264822134,0.288537549,0.33201581,0.296442688,0.300395257,0.292490119,0.312252964,0.509881423,0.383399209,0.324110672,0.328063241,0.42687747,0.272727273,0.415019763,0.296442688,0.249011858,0.276679842,0.296442688,0.28458498,0.252964427,0.33201581,0.371541502,0.292490119,0.316205534,0.296442688,0.300395257,0.28458498,0.387351779,0.822134387,0.324110672,0.43083004,0.308300395,0.268774704,0.292490119,0.292490119,0.276679842,0.490118577,0.308300395,0.249011858,0.252964427,0.280632411,0.304347826,0.276679842,0.264822134,0.300395257,0.312252964,0.256916996,0.300395257,0.213438735,0.292490119,0.288537549,0.264822134,0.43083004,0.260869565,0.276679842,0.403162055,0.407114625,0.201581028,0.442687747,0.288537549,0.43083004,0.434782609,0.782608696,0.276679842,0.288537549,0.320158103,0.944664032,0.28458498,0.280632411,0.28458498,0.28458498,0.418972332,0.264822134,0.308300395,0.513833992,0.296442688,0.822134387,0.316205534,0.256916996,0.450592885,0.260869565,0.28458498,0.300395257,0.280632411,0.264822134,0.229249012,0.822134387,0.960474308,0.256916996,0.300395257,0.367588933
0.395256917,0.28458498,0.37944664,0.308300395,1,0.399209486,0.300395257,0.403162055,0.375494071,0.312252964,0.296442688,0.324110672,0.304347826,0.359683794,0.324110672,0.28458498,0.343873518,0.300395257,0.304347826,0.276679842,0.407114625,0.280632411,0.403162055,0.355731225,0.403162055,0.383399209,0.335968379,0.316205534,0.391304348,0.320158103,0.343873518,0.347826087,0.292490119,0.407114625,0.292490119,0.363636364,0.328063241,0.399209486,0.264822134,0.355731225,0.399209486,0.308300395,0.292490119,0.296442688,0.387351779,0.296442688,0.418972332,0.33201581,0.245059289,0.375494071,0.37944664,0.324110672,0.343873518,0.399209486,0.320158103,0.296442688,0.383399209,0.308300395,0.395256917,0.339920949,0.308300395,0.300395257,0.300395257,0.312252964,0.256916996,0.308300395,0.288537549,0.272727273,0.280632411,0.256916996,0.233201581,0.256916996,0.276679842,0.339920949,0.351778656,0.280632411,0.296442688,0.320158103,0.351778656,0.33201581,0.312252964,0.347826087,0.260869565,0.395256917,0.363636364,0.272727273,0.292490119,0.28458498,0.264822134,0.328063241,0.418972332,0.395256917,0.304347826,0.264822134,0.304347826,0.335968379,0.288537549,0.418972332,0.292490119,0.280632411,0.395256917,0.304347826,0.304347826,0.312252964,0.268774704,0.28458498,0.324110672,0.347826087,0.33201581,0.256916996,0.264822134,0.288537549,0.304347826,0.308300395,0.320158103,0.320158103,0.316205534,0.316205534,0.245059289,0.355731225,0.33201581,0.339920949,0.391304348,0.276679842,0.316205534,0.391304348,0.371541502,0.252964427,0.399209486,0.320158103,0.395256917,0.395256917,0.328063241,0.312252964,0.324110672,0.280632411,0.304347826,0.375494071,0.312252964,0.28458498,0.328063241,0.383399209,0.308300395,0.264822134,0.320158103,0.347826087,0.288537549,0.328063241,0.320158103,0.300395257,0.28458498,0.264822134,0.28458498,0.300395257,0.320158103,0.355731225,0.288537549,0.320158103,0.328063241,0.308300395,0.339920949
0.517786561,0.399209486,0.588932806,0.391304348,0.399209486,1,0.375494071,0.422924901,0.37944664,0.422924901,0.387351779,0.407114625,0.411067194,0.470355731,0.391304348,0.399209486,0.446640316,0.391304348,0.371541502,0.371541502,0.5256917,0.272727273,0.509881423,0.399209486,0.517786561,0.498023715,0.264822134,0.363636364,0.509881423,0.320158103,0.359683794,0.33201581,0.375494071,0.513833992,0.28458498,0.367588933,0.292490119,0.438735178,0.268774704,0.371541502,0.517786561,0.411067194,0.312252964,0.304347826,0.517786561,0.391304348,0.4743083,0.446640316,0.28458498,0.415019763,0.383399209,0.260869565,0.533596838,0.604743083,0.33201581,0.415019763,0.446640316,0.300395257,0.517786561,0.355731225,0.256916996,0.308300395,0.335968379,0.324110672,0.264822134,0.276679842,0.308300395,0.316205534,0.280632411,0.28458498,0.264822134,0.268774704,0.296442688,0.33201581,0.347826087,0.28458498,0.272727273,0.37944664,0.458498024,0.308300395,0.272727273,0.501976285,0.280632411,0.505928854,0.339920949,0.264822134,0.304347826,0.324110672,0.272727273,0.300395257,0.442687747,0.5256917,0.355731225,0.272727273,0.339920949,0.339920949,0.272727273,0.391304348,0.411067194,0.292490119,0.517786561,0.343873518,0.276679842,0.335968379,0.308300395,0.292490119,0.383399209,0.33201581,0.296442688,0.268774704,0.328063241,0.280632411,0.33201581,0.308300395,0.296442688,0.312252964,0.312252964,0.288537549,0.249011858,0.300395257,0.316205534,0.288537549,0.52173913,0.351778656,0.264822134,0.482213439,0.4743083,0.213438735,0.498023715,0.375494071,0.517786561,0.513833992,0.434782609,0.260869565,0.316205534,0.296442688,0.422924901,0.280632411,0.276679842,0.304347826,0.296442688,0.56916996,0.316205534,0.33201581,0.407114625,0.256916996,0.403162055,0.328063241,0.280632411,0.399209486,0.320158103,0.249011858,0.324110672,0.312252964,0.296442688,0.276679842,0.403162055,0.411067194,0.276679842,0.292490119,0.509881423
0.422924901,0.446640316,0.359683794,0.454545455,0.300395257,0.375494071,1,0.363636364,0.339920949,0.446640316,0.833992095,0.446640316,0.438735178,0.43083004,0.458498024,0.454545455,0.395256917,0.454545455,0.438735178,0.418972332,0.399209486,0.268774704,0.411067194,0.355731225,0.418972332,0.418972332,0.260869565,0.359683794,0.418972332,0.316205534,0.371541502,0.300395257,0.450592885,0.434782609,0.308300395,0.316205534,0.312252964,0.355731225,0.296442688,0.339920949,0.418972332,0.446640316,0.343873518,0.268774704,0.422924901,0.458498024,0.395256917,0.470355731,0.300395257,0.391304348,0.367588933,0.328063241,0.375494071,0.375494071,0.288537549,0.446640316,0.359683794,0.260869565,0.422924901,0.343873518,0.300395257,0.324110672,0.375494071,0.308300395,0.312252964,0.276679842,0.276679842,0.33201581,0.304347826,0.367588933,0.256916996,0.245059289,0.260869565,0.296442688,0.28458498,0.308300395,0.280632411,0.454545455,0.371541502,0.280632411,0.276679842,0.403162055,0.264822134,0.42687747,0.304347826,0.280632411,0.308300395,0.28458498,0.264822134,0.28458498,0.347826087,0.359683794,0.280632411,0.312252964,0.316205534,0.23715415,0.249011858,0.351778656,0.434782609,0.320158103,0.422924901,0.276679842,0.320158103,0.304347826,0.288537549,0.288537549,0.446640316,0.252964427,0.288537549,0.268774704,0.272727273,0.268774704,0.312252964,0.304347826,0.276679842,0.308300395,0.324110672,0.347826087,0.288537549,0.276679842,0.292490119,0.300395257,0.418972332,0.292490119,0.276679842,0.395256917,0.415019763,0.264822134,0.43083004,0.276679842,0.422924901,0.422924901,0.407114625,0.343873518,0.296442688,0.300395257,0.450592885,0.292490119,0.335968379,0.268774704,0.343873518,0.351778656,0.300395257,0.324110672,0.454545455,0.320158103,0.442687747,0.288537549,0.300395257,0.830039526,0.272727273,0.252964427,0.249011858,0.292490119,0.276679842,0.300395257,0.442687747,0.454545455,0.256916996,0.288537549,0.312252964
0.351778656,0.391304348,0.422924901,0.403162055,0.403162055,0.422924901,0.363636364,1,0.498023715,0.37944664,0.343873518,0.375494071,0.347826087,0.407114625,0.375494071,0.359683794,0.387351779,0.399209486,0.367588933,0.355731225,0.415019763,0.28458498,0.383399209,0.470355731,0.347826087,0.383399209,0.264822134,0.351778656,0.355731225,0.351778656,0.343873518,0.328063241,0.395256917,0.367588933,0.296442688,0.375494071,0.33201581,0.415019763,0.241106719,0.541501976,0.351778656,0.37944664,0.355731225,0.28458498,0.351778656,0.351778656,0.391304348,0.355731225,0.296442688,0.403162055,0.501976285,0.308300395,0.375494071,0.422924901,0.324110672,0.367588933,0.43083004,0.272727273,0.351778656,0.33201581,0.316205534,0.316205534,0.359683794,0.292490119,0.276679842,0.347826087,0.304347826,0.308300395,0.300395257,0.288537549,0.296442688,0.300395257,0.288537549,0.288537549,0.268774704,0.260869565,0.264822134,0.367588933,0.312252964,0.300395257,0.268774704,0.375494071,0.288537549,0.355731225,0.320158103,0.252964427,0.335968379,0.28458498,0.249011858,0.28458498,0.537549407,0.387351779,0.292490119,0.28458498,0.304347826,0.316205534,0.288537549,0.648221344,0.403162055,0.328063241,0.351778656,0.316205534,0.324110672,0.328063241,0.260869565,0.292490119,0.363636364,0.371541502,0.280632411,0.308300395,0.320158103,0.324110672,0.288537549,0.312252964,0.288537549,0.324110672,0.28458498,0.292490119,0.292490119,0.272727273,0.339920949,0.304347826,0.347826087,0.320158103,0.264822134,0.312252964,0.418972332,0.233201581,0.355731225,0.343873518,0.351778656,0.347826087,0.42687747,0.288537549,0.268774704,0.304347826,0.387351779,0.320158103,0.280632411,0.288537549,0.288537549,0.434782609,0.320158103,0.347826087,0.403162055,0.28458498,0.395256917,0.308300395,0.308300395,0.359683794,0.304347826,0.268774704,0.383399209,0.288537549,0.272727273,0.280632411,0.395256917,0.399209486,0.308300395,0.312252964,0.383399209
0.387351779,0.351778656,0.407114625,0.33201581,0.375494071,0.37944664,0.339920949,0.498023715,1,0.328063241,0.339920949,0.415019763,0.367588933,0.407114625,0.375494071,0.324110672,0.343873518,0.328063241,0.355731225,0.391304348,0.415019763,0.308300395,0.415019763,0.462450593,0.383399209,0.407114625,0.316205534,0.359683794,0.387351779,0.296442688,0.37944664,0.316205534,0.359683794,0.363636364,0.245059289,0.347826087,0.343873518,0.351778656,0.304347826,0.624505929,0.383399209,0.335968379,0.324110672,0.320158103,0.37944664,0.328063241,0.391304348,0.33201581,0.300395257,0.387351779,0.916996047,0.288537549,0.438735178,0.403162055,0.33201581,0.335968379,0.399209486,0.312252964,0.387351779,0.300395257,0.28458498,0.312252964,0.355731225,0.276679842,0.343873518,0.339920949,0.304347826,0.292490119,0.304347826,0.324110672,0.288537549,0.252964427,0.260869565,0.351778656,0.288537549,0.260869565,0.272727273,0.33201581,0.347826087,0.276679842,0.229249012,0.367588933,0.324110672,0.407114625,0.33201581,0.312252964,0.316205534,0.276679842,0.304347826,0.324110672,0.4743083,0.438735178,0.320158103,0.288537549,0.335968379,0.355731225,0.264822134,0.47826087,0.359683794,0.272727273,0.387351779,0.312252964,0.308300395,0.280632411,0.276679842,0.268774704,0.335968379,0.363636364,0.328063241,0.288537549,0.316205534,0.241106719,0.316205534,0.324110672,0.316205534,0.292490119,0.288537549,0.252964427,0.276679842,0.312252964,0.347826087,0.272727273,0.391304348,0.33201581,0.292490119,0.347826087,0.387351779,0.233201581,0.391304348,0.367588933,0.387351779,0.387351779,0.387351779,0.241106719,0.280632411,0.308300395,0.355731225,0.367588933,0.28458498,0.252964427,0.316205534,0.415019763,0.33201581,0.304347826,0.347826087,0.249011858,0.355731225,0.355731225,0.241106719,0.347826087,0.296442688,0.339920949,0.292490119,0.28458498,0.339920949,0.308300395,0.355731225,0.359683794,0.260869565,0.288537549,0.359683794
0.418972332,0.826086957,0.415019763,0.889328063,0.312252964,0.422924901,0.446640316,0.37944664,0.328063241,1,0.446640316,0.553359684,0.494071146,0.415019763,0.513833992,0.5256917,0.391304348,0.865612648,0.462450593,0.537549407,0.415019763,0.328063241,0.407114625,0.351778656,0.403162055,0.415019763,0.33201581,0.422924901,0.422924901,0.296442688,0.343873518,0.296442688,0.486166008,0.391304348,0.300395257,0.292490119,0.320158103,0.375494071,0.300395257,0.324110672,0.418972332,0.873517787,0.316205534,0.264822134,0.415019763,0.541501976,0.411067194,0.529644269,0.28458498,0.324110672,0.335968379,0.268774704,0.422924901,0.415019763,0.256916996,0.517786561,0.371541502,0.312252964,0.418972332,0.33201581,0.256916996,0.304347826,0.328063241,0.328063241,0.308300395,0.300395257,0.264822134,0.296442688,0.256916996,0.316205534,0.276679842,0.328063241,0.300395257,0.300395257,0.308300395,0.292490119,0.296442688,0.533596838,0.371541502,0.363636364,0.308300395,0.422924901,0.264822134,0.42687747,0.292490119,0.256916996,0.280632411,0.316205534,0.292490119,0.252964427,0.335968379,0.383399209,0.288537549,0.304347826,0.288537549,0.324110672,0.28458498,0.37944664,0.822134387,0.339920949,0.418972332,0.296442688,0.292490119,0.300395257,0.280632411,0.268774704,0.517786561,0.300395257,0.249011858,0.256916996,0.300395257,0.324110672,0.296442688,0.276679842,0.300395257,0.312252964,0.28458498,0.292490119,0.23715415,0.28458498,0.304347826,0.272727273,0.418972332,0.264822134,0.292490119,0.391304348,0.415019763,0.213438735,0.418972332,0.296442688,0.418972332,0.422924901,0.782608696,0.288537549,0.308300395,0.316205534,0.889328063,0.272727273,0.28458498,0.292490119,0.256916996,0.411067194,0.280632411,0.316205534,0.513833992,0.28458498,0.822134387,0.304347826,0.264822134,0.446640316,0.272727273,0.276679842,0.296442688,0.276679842,0.268774704,0.229249012,0.822134387,0.881422925,0.252964427,0.292490119,0.359683794
